IHR,date,equip,cat1,cat2,hazard,location,risk,event,desc,invest
1927,13-06-10 20:30,DHC-8,Overshoot (go-around),,Occurrence,CET2,Low Risk,"Raim not available to approach on 27 continued to the FAF with no ground contacted, completed missed approach, CET2 unicom advised 09 approach looked better, continued to check RAIM, flew approach for 09 Raim still not available continued approach to FAF with no ground contact, completed missed approach and flew to CYMM, checked Raim there and it was available for CYMM, checked Raim on the ground in CYMM for CET2 and it showed available. Checked Raim on return into CYYC and it was available. \r\nNCA dash and Chinook aircraft both landed in CET2 before our approach.",,"June 11 2013-6.09 am yxj\r\nVern Lace-Q/A Manager maintenance\r\nNo defect entered no maintenance action required\r\nHandling risk low\r\n\r\nJames Wakulchyk QA Flt Ops June 11 2013 9:26AM handling risk low 1-4.  Assigned to manager.\r\n\r\n\r\nRichelle Singer-SMS-July 08, 2013-1130L\r\nReport extended until July 23, 2013\r\n\r\nDanny Shorten Assistant Chief Pilot 705 15 July 2013\r\nSpoke with Crew. Crew acted in accordance with all applicable guidance: CAR's, SOP's. Apparent cause identified as loss of RAIM. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - Sept 16, 2013\r\nReport under consideration for administrative closure.  Status changed to Administrative Closure.\r\n\r\nDan Wuthrich - AE - Oct 9, 2013\r\nReviewed and closed\r\n\r\nDan Wuthrich - AE - Oct 9th\r\nReviewed and closed\r\n\r\nAndrew Matson - SMS - Sept 30, 2013  1000L\r\nReport recommended for Administrative Closure.  Vetting team consensus via emails from Maintenance QA Manager (Sept 14, 2013); Flt Ops QA Manager (Sept 26, 2013); and Flt Ops Human Factors (K. Karpowich, Sept 29, 2013).  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich - AE - Oct 9, 2013\r\nReviewed and closed\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1928,13-06-12 3:00,Ground Support Equipment,Facilities,Ground Servicing,Occurrence,Hanger 5 North Wall Near hanger doors,Medium Risk,"During the course of maintenance tonight, I observed the fire extinguisher blocked by maintenance support equipment along the North wall of hanger 5 near the hanger doors.  This occurrence has been a previously identified within the SMS system and communicated to personal in form of posting on the information board the lunch room.","It appears previous root-cause analysis was not sufficient to identify the cause that exists resulting in this re-occurrence.  Presently the system is not adequate to organize commonly equipment such as work stands, sky lifts, aircraft jacks, tool boxes and other implements.  Equipment that is randomly used could be organized and stored at another location â€œcold storageâ€  Equipment that has no use or is not required anymore could be recycled or sold increasing the ease of managing the operations of our hangars. \r\n\r\nA cause is the high level of expansion with in operations at North Cariboo Air and not having the facility organized to support the infrastructure required prior performing operation.  \r\n\r\nShort term:  Area was re-organized to the best of our abilities to gain access to the fire extinguisher and will be communicated in the maintenance meeting tomorrow afternoon.\r\n","June 12 2013 7;03 am yxj\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk low\r\nAssigned to manager.\r\n\r\nJames Wakulchyk QA Flt Ops June 13 2013 11:50 AM handling risk low.  Note:  Fire Extinguisher was moved to post; review of location and signs shows it is now located near door and is not being blocked.  Item being blocked per pciture is wheel-mounted extinguisher which was parked in red box from previous fire extinguisher location.  Assigned to manager.  May be AC'd\r\n\r\nAndrew Matson - SMS - June 13, 2013  1215L\r\nThis report reflects issues covered under Occupational Health and Safety and cannot be Administratively Closed.  This incident is a breach of Standard NFPA 10, Section 6.1.3.3.1 which reads Fire Extinguishers shall not be obstructed or obstructed from view.  Report escalated to Medium risk.  RCA required.\r\n\r\nThe wheel-mounted fire extinguisher is designed for use on fire that occur on the ramp.  Unit has been moved to the east side of Hangar 5 to enable the unit to be moved easily onto the ramp in case of fire.\r\n\r\nMark Wright YYC Base Enigneer- June 13/2013 - SMS represenative and I have relocatated  the Rolling Ramp Fire Extinguisher cart to North East wall .\r\nIt is Unknown who place this Fire extingusher unit in this location , but they did not carryout  any Due dillagence for correct postion of this  saftey Equipment and a safe  location . We have a team of Maintenance staff that is presently re Organizing the hangar to look at correct postioning of this equipment and other items . To keep us working in a safe enviroment .Have had a discussed with  all staff  members in our shift meeting . Recommned for Closure .\r\n\r\nRichelle Singer-SMS-July 29, 2013-1340L\r\nSMS Committee closed report on July 25, 2013 pending follow-up from SMS Coordinator for clarification on regulatory compliance.\r\n\r\nRichelle Singer-SMS-Oct 22, 2013-1416L\r\nPer SMS Coordinator at meeting on October 17, 2013:  This report met code and is not a regulatory compliance issue.\r\n\r\nSMS Report closed\r\n\r\nFeb.3 2014\r\nVern Lace Q/A Manager maint.\r\nIhave reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance and existing audt\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nMay 20 2014 James Wakulchyk Q/A Manager flt Ops\r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance and existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1929,13-06-12 14:00,None,Ramp/Parking/Maneuvering,,Occurrence,front desk,Medium Risk,"we were in a tornado watch and a sever thunderstorm watch and we are not getting the call about red alerts which result in a full ground stop for us\r\nmaintenance did receive a call, however we were not informed immediatley\r\nwithout getting a call we cannot inform the ramp staff to come inside and stop working on the ramp, we are completely oblivious",the front desk number not being listed as the main number in the event of an airport emergency,"June 11 2013-2;26 pm yxj\r\nVern Lace-Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk Med. 3-3\r\n\r\nJune 12, 2013\r\nPaulette Buckley\r\n\r\nI have spoke with Burl Ham - Manager of Emergency Services and Emergency Planning at EIA. They had 780.890.7604 (YEG Maintenance Portable phone) as the main line to call. I requested that 780.890.7600 (YEG main Maintenance line) be listed as the first number called and 780.890.7604 as second number to be called. This change was made immediately.\r\n\r\nRecommended for Closure by Paulette on June 12, 2013 \r\n\r\nJames Wakulchyk QA Flt Ops June 13 2013 10AM handling risk med 3-2 assigned to manager\r\n\r\nDavid Heiduk - SMS - 26 June 2013 1345(L)\r\nWith permission of Paulette information added to her investigation notes above reflecting who the phones numbers belong to.\r\n\r\nRichelle Singer-SMS-July 29, 2013-1500L\r\nOn behalf of Director, SMS - Root Cause Analysis not required- Third Party-Issue beyond NCA control\r\nSMS Committee closed report on July 25, 2013\r\n\r\nFeb.3 2014\r\nVern Lace Q/A Manager maint.\r\nIhave reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance and existing audt\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nMay 20 2014 James Wakulchyk Q/A Manager flt Ops\r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance and existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1930,13-06-12 22:10,DHC-8,Crew/Passenger Interference,Security Situation,Occurrence,Onboard LWN and Edmonton lobby,Low Risk,"CSA on the ramp noticed a passenger appeared to be under the influence of alcohol as he boarded the aircraft. She informed the flight attendant and the flight crew requested we deplane the passenger.\r\n\r\nWe had the ramp agents remove the passenger's bags while I boarded the aircraft and asked the passenger to come with me so we could have a chat.\r\n\r\nOnce inside the facility I explained that we were removing him from the flight as we were not comfortable with his behavior and demeanor. He disagreed with the decision to remove him from the aircraft but was quite friendly and at this time. I did not notice any smell of alcohol coming from him.\r\n\r\nAs time passed and we continued to explain the situation and assist him in finding a ride home, his demeanor was changing quickly and was becoming more aggressive/combative. The smell of alcohol on his breath was also extremely strong.\r\n\r\nHe started to make wild accusations regarding racism, that we were out to get him, that we did not like iron workers, and made statements that he hoped the aircraft crashed. At this point, with the combative behavior combined with the comments about the aircraft crashing I called the RCMP detachment and requested their assistance. \r\n\r\nHe continued to become more verbally aggressive and agitated and his speech was becoming very slurred. At this point the RCMP arrived, asked what was happening, did a ID check and promptly arrested him and removed him from the facility.",Extended delay - Passenger took the opportunity to pass time with an intoxicating agent.,"June 13 2013-7;54 pm yxj\r\nVern Lace-Q/A Manager maintenance\r\nNo maintenance action required \r\nHandling risk low\r\n\r\nJames Wakulchyk QA Flt Ops June 13 2013 handling risk low.  ICM risk 3 subject to review by manager.  Assigned to manager.\r\n\r\nAndrew Matson - SMS - June 13, 2013  1000L\r\nICM report attached to file.\r\n\r\nPaulette Buckley - June 13, 2013\r\nProcedures pertaining to unruly/intoxicated pax were followed by staff  & a de-identified SMS report has been submitted to Bantrel & Conoco.\r\n\r\nPaulette - July 12, 2013\r\nNo further communication received from Bantrel or Conoco pertaining to this incident.\r\nRecommended for Closure\r\n\r\nAndrew Matson - SMS - July 15, 2013  1700L\r\nResponse from Conoco Phillips regarding this incident received.  Individual involved has been disciplined in accordance with their internal policies.  Copy of correspondence kept in SMS file.\r\n\r\nRichelle Singer-SMS-August 21, 2013-1320L\r\nSMS Committee closed report on August 15, 2013\r\nPer Committee request, police Involvement changed to â€œYesâ€ \r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1931,13-06-13 16:40,BE 200,Ramp/Parking/Maneuvering,Airframe,Occurrence,YEG Hanger,Medium Risk,"I was pushing a King Air 200 into the hanger with two wing walkers one on the left and one on the right side. As I was coming to a stop, the trailing edge of the right wing came in contact with a parked tug. Informed the situation to maintenance where they made an inspection and said there was no significant damage.",Lack of a constant observation of the surroundings and focusing on one spot. ,"James Wakulchyk QA Flt Ops June 13 2013 5:50PM handling risk med. 2-5.  Assigned to manager.\r\n\r\nJune 14 2013-744 am yxj\r\nVern Lace Q/A Manager maintenance\r\nThe defect was entered as required \r\nMaintenance rectified the defect and released the work TC 132240-112\r\nHandling risk MED.2-5\r\n\r\nRichelle Singer-SMS-July 08, 2013-1300L\r\nReport extended until Aug 07, 2013 \r\n\r\nRichelle Singer-SMS-Aug 08, 2013-1119L\r\nReport extended until Aug 21, 2013- VP, Operations approved on Aug 06, 2013.\r\n\r\nKen Pratt YEG Base Engineer- Aug 20/13- I interviewed the ramphands involved. The driver was moving very slowly because he suspected something wasnâ€™t right however the ramphand that was wingwalking was telling him it was clear. There were two issues, one; was the ramphand wingwalking was very new and was focusing on the tail rather then being completely aware of all his suroundings and two; the Driver did not speak-up when he suspected something wasnâ€™t right. I completed two RCAâ€™s one for each failure and attached. The fact the driver was moving REALLY slow made the damage negligible, a quick tweak to straighten it was all that was required and there was no evidence once repaired, because of this the financial loss related to this report is negligible. Recommended for closure.\r\n\r\nRichelle Singer-SMS-October 01, 2013-1100L\r\nSMS Committee closed report on September 19, 2013\r\nCategory changed from Airframe to Ramp Parking/Maneuvering\r\n\r\nFeb.3 2014\r\nVern Lace Q/A Manager maint.\r\nIhave reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance and existing audt\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nMay 20 2014 James Wakulchyk Q/A Manager flt Ops\r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance and existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1932,13-06-12 13:50,DHC-8,Overshoot (go-around),,Occurrence,approach cyeg,Low Risk,"on visual approach runway 20 cyeg, we were advised that there was a large cell to the northwest and they were taking off of 02 and landing 20.  12/30 was closed.  approaching circuit height we were told winds were 060 gusting up to 16.  Decided this was likely beyond our tailwind component limeit of 10 knots and told tower we were unable and requested 02.  Instead of a circuit for landing 02 we were given a climb and vector away from the field, so we cleaned up the aircraft and prepared for another approach, which was given again for 20, but the winds had subsided sufficiently.",,"June 14 2013-2;37 pm yxj\r\nVern Lace-Q/A Manager Maintenance\r\nNo maintenance action required\r\nhandling risk low\r\n\r\nJames Wakulchyk QA Flt Ops June 14 2013 4:25PM handling risk low1-4  assigned to manager\r\n\r\nDanny Shorten Assistant Chief pilot 705 15 July 2013\r\nSpoke with the crew. Crew acted in accordance with all applicable guidance; AFM, SOP's and CAR's. Apparent cause identified as weather. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - Sept 9, 2013  1430L\r\nReport under consideration for administrative closure.  Status set to Administrative Closure.\r\n\r\nAndrew Matson - SMS - Sept 30, 2013  1000L\r\nReport recommended for Administrative Closure.  Vetting team consensus via emails from Maintenance QA Manager (Sept 14, 2013); Flt Ops QA Manager (Sept 26, 2013); and Flt Ops Human Factors (K. Karpowich, Sept 29, 2013).  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich - AE - Oct 9, 2013\r\nReviewed and closed\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1933,13-06-14 16:00,Ground Support Equipment,Facilities,,Occurrence,Hangar 6,Low Risk,The support cables on the overhead door came off the rails when it was lowered to the closed position. When it was opened back up the door was uneven in the rails causing it to fall several feet in the guide system. We lowered it down by hand so it wouldn't fall on its own. ,Malfunction in the overhead door.,"James Wakulchyk QA Flt Ops June 14 2013 4:50PM ocurrence risk low 2-2.  Handling risk medium due facility damage.  Assigned to manager.\r\n\r\nJune 14 2013 6;13 pm yxj\r\nHandling risk low\r\nNo maintenance action required\r\n\r\nAndrew Matson - SMS - June 17, 2013  1245L\r\nHazard ID changed from Accident to Occurrence.\r\n\r\nTyson Cann - Supervisor, Ramp Operations - June 26, 2013\r\nGarage door in hangar 6 with access to the ramp was repaired the following day. Cost of the damage plus labor was $500. A maintenance program is being developed for all hangar doors, fire doors, and garage doors in the facility to ensure all are functioning properly. RFC.\r\n\r\nAndrew Matson - SMS - June 28, 2013  1345L\r\nThe investigation shows that the root cause of this incident was component failure due to wear and tear on support cable where it attaches to the top of the door.  There was no damage to the rails or door caused by this event.  The damage amount shown is this report is therefore the cost for the replacement of the cable and the labor to install can be considered as the cost of doing business.  This cost will not be reflected in the SMS KPIs and statistics related to SMS goals.  Report changed to reflect no damage and lowered to low risk.\r\n\r\nRichelle Singer-SMS-August 21, 2013-1420L\r\nSMS Committee closed report on August 15, 2013 \r\nPer SMS Committee request, category Changed from Ground Equipment to Facilities\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1935,13-06-12 23:00,DHC-8,Component Failure (or part of),In-flight Diversion,Occurrence,Climb out of CYEG to CYNR,Low Risk,"In climb out of Edmonton, the Pitot Heat #2 caution light illuminated. While going through the QRH and MEL, the 802 Display came up a message DADC INVALID also the auto pilot disconnected and the co-pilot airspeed indicator drop to 22 knots. I took control and asked Matt to ask for vectors to return to Edmonton. Tried several times to get a hold of Edmonton base with no success (they have been having troubles lately with there radio). We did get a hold of Canadian Norths base in Edmonton and asked them to pass along a message to base to have maintenance meet us when we arrive. Once exiting the icing conditions the co-pilot side airspeed returned to working order (probably due to ice melting into warmer weather). Flight attendant and passengers were informed of the return also.\r\n\r\nCalled OCC and Canadian North Ops via SAT Phone both said they didn't know we were diverting back to Edmonton. Asked OCC to call Edmonton maintenance to meet us at Terminal 3. \r\n\r\nUpon landing maintenance meet us found that the circuit breaker was pooped, reset breaker and we continued flight.",Earlier on first flight had the ELEV HORN HEAT Annunciation come on during flight but shut off after a few minutes. With the second leg having the PITOT HEAT #2 Annunciation coming on with the other failures we felt that there may be something more serious going on with the aircraft had us make our decision to return to Edmonton. Even though in SOP states to reset essential CB we did not notice till on the ground that it was actually popped.\r\n\r\nEdmonton Canadian North base failing to inform Calgary after we specifically asked them to call them for us is a weakness in communication.\r\n\r\nProblems with Edmonton Base radio  \r\n\r\nSAT-PHONE communication helped us in the end having the proper facilitators in place to complete the trip without to much delay. ,"June 17 2013-6;55 am yxj\r\nVern Lace Q/A Manager maintenance\r\nThe defect was entered as required\r\nMaintenance cleared the defect TC 132419-3 and released the work\r\nNo further maintenance action required\r\nHandling risk low 2-2\r\n\r\nJames Wakulchyk QA Flt Ops June 17 2013 12PM.  Handling risk low for maintenance. handling risk med 2-3 for communication breakdown between Cdn North CYEG, and Cdn North CYYC.\r\n\r\nDanny Shorten Assistant Chief Pilot 705 15 July 2013\r\nSpoke with the Crew. Crew acted in accordance with all applicable guidance; CAR's, SOP's. Apparent cause identified as component failure. Recommended Crews use the Satphone as this allows direct communication. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - July 24, 2013  1550L\r\nIn consultation with ACP 705, the communication failure was with Cdn North Ops in YEG, not Cdn North Dispatch.  NCA has no contract agreement with Cdn North Ops, and there is no guidance from NCA for crews to contact them.  Therefore, no root cause analysis required for the communication breakdown with Cdn North Ops.  Handling risk reduced to Low.\r\n\r\nRichelle Singer-SMS-August 21, 2013-1320L\r\nSMS Committee closed report on August 15, 2013\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1936,13-06-14 16:30,DHC-8,Engine shut-down,,Occurrence,CYEG,Low Risk,After taking position on runway 02 (from B2 taxiway) the #2 oil pressure master warning light illuminated.  The oil pressure gauge was reading 65psi. The engine was shut down and we taxied off the runway to base. Maintenance was notified and rectified the problem. After a delay we flew the aircraft back to YYC with no passengers.,,"June 17 2013-7;00 am yxj\r\nVern Lace-Q/A Manager maintenance\r\nThe crew entered the defect as required\r\nMaintenance cleared the defect TC 132422-9 and released the work\r\nNo further maintenance action required\r\nHandling risk low 2-2\r\n\r\nJames Wakulchyk QA Flt Ops June 17 2013 12:03PM handling risk low 2-2 assigned to manager.\r\n\r\nDanny Shorten Assistant Chief Pilot 705 June 17, 2013\r\nSpoke with the crew. Crew acted in accordance with all applicable guidance; CAR's, SOP's and AFM. Apparent cause was identified as component failure. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - June 18, 2013  1430L\r\nReport recommended for Administrative Closure.  Status changed to Administrative Close.\r\n\r\nAndrew Matson - SMS - August 8, 2013 1145L\r\nReport recommended for administrative closure.  Consensus of vetting team via email from QA Flt Ops July 25, 2013 and verbal discussion with QA Mtc July 19, 2013 at 1315L.  Report sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich AE Aug 19, 2013\r\nReviewed and Closed\r\n\r\nAndrew Matson - SMS - Sept 9, 2013  1345L\r\nReport status set to Closed.\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1937,13-06-18 17:00,BE 200,Maintenance Procedure,,Occurrence,YXJ Hangar 2 workshop,Low Risk,"While entering task cards into WinAir I realized I had used an incorrect reference for tensionning the autopilot servo bridal cables during the phase inspection. I had used the reference for the AP-106 autopilot instead of the AP-105. When Checking into it I found that the tension for the elevator bridal cable was in limits, but the ruder bridal cable was 7 lbs high. TC 132496-22 was generated to check and correct the bridal cable tensions as required.",In a hurry when printing the references out - complacency in not double checking which autopilot was installed.,"June 192013 7;31 am yeg\r\nVern Lace Q/A Manager maintenance\r\nHandling risk low\r\nThe defect was entered as required\r\nMaintenance cleared the defect TC132496-22 and released the work.\r\nNo further maintenance action required.\r\n\r\nJames Wakulchyk QA Flt Ops June 20 2013 handling risk low per QA Maint.  no flight ops input required.\r\n\r\nJuly 10, 2013.  Dave Williamson\r\nI talked to the individual concerning the importance of AMM review prior to completion of tasks.\r\nThe  Individual caught his error.  No further action required. Probable cause identified by the Originator is consistent with the findings of this investigation. \r\n\r\nRichelle Singer-SMS-October 01, 2013-1130L\r\nSMS Committee closed report on September 19, 2013\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1938,13-06-18 17:30,B 1900D,Landing Gear (system or operation),Overshoot (go-around),Occurrence,YYC,Low Risk,"On final for rwy 28 in YYC.  Gear was selected down.  Received an indication of green for nose wheel and right main gear.  Red in transit lights in the gear handle were also on.  After selection the landing gear circuit breaker popped.  After verifying the indication we performed a go around.  We were assigned a heading of 315 and altitude of 7000 feet.  We completed relevant check lists and then completed the QRH checklist for landing gear indication.  We proceeded to trouble shoot by pulling back the power levers to listen for the gear warning horn, which did not sound.  We then reset the CB and allowed it to cool for 20 seconds and then cycled the gear up, all lights went out.  We put the gear down and received an indication of 3 green and the in transit light went out.  We again ensured gear was down by pulling back the power levers and listening for the gear horn.   We left the gear down and then requested to return to YYC for landing.  Landing was uneventful!",,"June 19 2013 7;27 am yeg\r\nVern Lace Q/A Manager maintenance\r\nThe crew entered the defect as required\r\nMaintenance cleared the defect TC 132227-176 and releasede thwe work\r\nHandling risk low\r\n\r\nJune 20 2013\r\nDeborah Kominko ACP 703/704\r\nSpoke with captain. Crew acted in accordance with all applicable guidance (QRH, AFM, SOP). Nothing further required from flight ops.\r\n\r\nProbable cause of this report appears to be an intermittent malfunction of the landing gear indication system. \r\n\r\nRecommended for closure. May be AC'd. \r\n\r\nJames Wakulchyk QA Flt Ops June 20 2013 risk low assigned to manager.  May be AC'd\r\n\r\nAndrew Matson - SMS - Sept 9, 2013  1430L\r\nReport under consideration for administrative closure.  Status set to Administrative Closure.\r\n\r\nDan Wuthrich - AE - Oct 9, 2013\r\nReviewed and closed\r\n\r\nAndrew Matson - SMS - Sept 30, 2013  1000L\r\nReport recommended for Administrative Closure.  Vetting team consensus via emails from Maintenance QA Manager (Sept 14, 2013).  Sent to Accountable Executive for review and closure.\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1939,13-06-19 19:00,DHC-8,System or Process Failure,,Occurrence,cyyc to cymm,Low Risk,During flight from CYYC to CYEG we noticed a fuel imbalance of 800 pounds.  we diverted to CYEG and entered the defect in the log book.  Our concern was that we might had a leak!!  Both gauges tested properly.,Not sure but this defect was also present 2 days earlier as entered in the log book.,"June 20 2013-7;00 am yeg\r\nVern Lace-Q/A Manager maintenance\r\nThe defect was entered as required- the crew MEL thedefect 28-41-01-Maintenance then cleared the defect TC 132297-180 and released the work\r\nHandling risk low\r\nNo further maintenance action required.\r\n\r\nJames Wakulchyk QA Flt Ops June 20 2013 10:15AM - handling risk low 1-2 assigned to manager.\r\n\r\nDanny Shorten Assistant Chief Pilot 705 24 June 2013\r\nSpoke with the crew. Crew acted in accordance with all applicable guidance; CAR's, SOP's. Apparent cause identified as component failure. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - Aug 1, 2013\r\nCategory changed from System Failure (other) to System or Process Failure\r\n\r\nAndrew Matson - SMS - Sept 9, 2013  1430L\r\nReport under consideration for administrative closure.  Status set to Administrative Closure.\r\n\r\nDan Wuthrich - AE - Oct 9, 2013\r\nReviewed and closed\r\n\r\nAndrew Matson - SMS - Sept 30, 2013  1000L\r\nReport recommended for Administrative Closure.  Vetting team consensus via emails from Maintenance QA Manager (Sept 14, 2013); and Flt Ops QA Manager (Sept 26, 2013).  Sent to Accountable Executive for review and closure.\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
